iter	MultiClass
0	1.072993343
1	1.050616714
2	1.030397855
3	1.01137533
4	0.9949977354
5	0.9803620185
6	0.9657588038
7	0.9532597413
8	0.9423187346
9	0.9317560124
10	0.9226250337
11	0.9137557717
12	0.9057982348
13	0.8988261853
14	0.8918247878
15	0.8850430721
16	0.8788465006
17	0.8737508514
18	0.8691041736
19	0.864829253
20	0.8599398326
21	0.8558843394
22	0.8516888327
23	0.8485613066
24	0.8450716333
25	0.8412260043
26	0.8386051274
27	0.8359542809
28	0.8336499474
29	0.8311716632
30	0.8287081251
31	0.8267350756
32	0.8246575799
33	0.8230360665
34	0.8208542035
35	0.8196050994
36	0.8183199938
37	0.8168377199
38	0.815289372
39	0.8137625843
40	0.8122722708
41	0.8113855493
42	0.8099429375
43	0.8086951052
44	0.8080548781
45	0.8070297229
46	0.8059285517
47	0.8042202168
48	0.8030131944
49	0.8011477792
50	0.8005257886
51	0.7996028686
52	0.7987245754
53	0.7974199564
54	0.7966690554
55	0.7958736777
56	0.7953784969
57	0.7946914592
58	0.7935722308
59	0.7921463493
60	0.791271656
61	0.7903893499
62	0.7898111632
63	0.7887254626
64	0.787461389
65	0.7867366095
66	0.7858105599
67	0.7849593259
68	0.7843785539
69	0.7830640584
70	0.7825801414
71	0.7817558031
72	0.7807455654
73	0.7802591653
74	0.7793777472
75	0.7786455617
76	0.7782642639
77	0.7776429713
78	0.7773481056
79	0.7766194529
80	0.7759471283
81	0.775401802
82	0.7747931215
83	0.7743637302
84	0.7733609068
85	0.7729638404
86	0.7723294623
87	0.771437555
88	0.7701256002
89	0.769134812
90	0.7685957906
91	0.7682377904
92	0.7675637997
93	0.7663869762
94	0.7657045198
95	0.7646563683
96	0.7640700504
97	0.7635692561
98	0.7627625212
99	0.7625600098
100	0.7621452412
101	0.761532936
102	0.7610671259
103	0.7603672508
104	0.7598063797
105	0.7588247164
106	0.7583466854
107	0.7574617034
108	0.7570972775
109	0.7565320892
110	0.7562751023
111	0.755520456
112	0.7548748021
113	0.7540678442
114	0.7539029902
115	0.7535109192
116	0.7529458132
117	0.7524924878
118	0.7517654946
119	0.7514960092
120	0.7511566495
121	0.7507018064
122	0.7500979569
123	0.7496210247
124	0.7490538469
125	0.7483660428
126	0.7475382291
127	0.747110094
128	0.7465635616
129	0.7460951299
130	0.7452749002
131	0.7448744956
132	0.7442146435
133	0.7433831707
134	0.7426791994
135	0.7423109773
136	0.7414224352
137	0.7403945766
138	0.739921355
139	0.7396578025
140	0.7393193189
141	0.7388956919
142	0.7386501981
143	0.7383117783
144	0.7379078929
145	0.7376788642
146	0.7373902452
147	0.7362160434
148	0.7355682966
149	0.7346194904
150	0.7340104447
151	0.7338275513
152	0.7331611742
153	0.7325912258
154	0.7321315514
155	0.7316033594
156	0.7309550671
157	0.7302851985
158	0.7296016971
159	0.7287369379
160	0.7282491833
161	0.7277966811
162	0.7271301595
163	0.7265942726
164	0.7258148583
165	0.7256799813
166	0.7251510698
167	0.7246343948
168	0.724199965
169	0.7235244102
170	0.7226644774
171	0.7217983582
172	0.7213917108
173	0.7209788981
174	0.7202894436
175	0.7197753082
176	0.7196217755
177	0.7185574984
178	0.7178219373
179	0.7170776114
180	0.7162486438
181	0.7156810433
182	0.714735377
183	0.7140095562
184	0.7133853397
185	0.7123910976
186	0.7115123646
187	0.7109109833
188	0.7103088256
189	0.7094999317
190	0.7090215356
191	0.708562242
192	0.7073148585
193	0.7066916635
194	0.7063229
195	0.7051121767
196	0.7043681914
197	0.7040011143
198	0.7033222298
199	0.702857351
200	0.7025412657
201	0.7017671628
202	0.7009304735
203	0.6995886185
204	0.6991352057
205	0.6986117651
206	0.6980652123
207	0.6975258285
208	0.6971425878
209	0.6966576264
210	0.6959092762
211	0.695307838
212	0.6947606998
213	0.6938727672
214	0.692842514
215	0.692313963
216	0.6916762636
217	0.6912225029
218	0.6907374297
219	0.690189668
220	0.6897006202
221	0.6894535197
222	0.6887009852
223	0.6881773837
224	0.687570024
225	0.6869395182
226	0.6863269677
227	0.6857864116
228	0.6848313866
229	0.6846003677
230	0.6841180863
231	0.6834177263
232	0.6829036074
233	0.6819865725
234	0.6809788934
235	0.680381464
236	0.6798181048
237	0.6792355549
238	0.6785370187
239	0.6779320754
240	0.6769516797
241	0.6765608372
242	0.6758792275
243	0.6747013197
244	0.6735038674
245	0.6729637092
246	0.6723956554
247	0.6717761229
248	0.6709606171
249	0.670356327
250	0.6697353269
251	0.6688041946
252	0.6682534049
253	0.667685107
254	0.6672939962
255	0.6664166034
256	0.6660276725
257	0.6654410216
258	0.6645001268
259	0.6639910334
260	0.6630537238
261	0.6624329824
262	0.6618930646
263	0.6611114895
264	0.6605560309
265	0.6600708014
266	0.6595977914
267	0.6589905382
268	0.6586488391
269	0.6583551995
270	0.6573191385
271	0.6569565031
272	0.6565104348
273	0.6559912267
274	0.6552755754
275	0.6546917632
276	0.6543234205
277	0.6539494028
278	0.653125247
279	0.6527465452
280	0.6520497087
281	0.6510787606
282	0.6504621327
283	0.6500913461
284	0.6494421453
285	0.6488617388
286	0.6482309062
287	0.6479097506
288	0.6471613551
289	0.6467812311
290	0.6460558583
291	0.6454027295
292	0.6450935569
293	0.6447917665
294	0.6439085354
295	0.6430563123
296	0.642209241
297	0.6413892206
298	0.6409982146
299	0.6405612131
