iter	Passed	Remaining
0	2	747
1	5	746
2	7	746
3	9	739
4	13	781
5	15	780
6	19	802
7	21	800
8	24	802
9	27	798
10	29	781
11	31	766
12	34	751
13	35	735
14	37	719
15	39	704
16	41	692
17	43	677
18	44	664
19	46	650
20	47	637
21	49	624
22	50	611
23	52	598
24	53	587
25	54	575
26	55	565
27	57	554
28	58	544
29	59	534
30	60	525
31	61	516
32	62	508
33	63	500
34	65	493
35	66	485
36	67	478
37	68	470
38	69	464
39	70	458
40	71	452
41	72	446
42	73	441
43	75	436
44	76	431
45	77	426
46	78	422
47	79	417
48	80	413
49	81	408
50	82	405
51	84	401
52	85	398
53	86	394
54	87	391
55	89	387
56	90	384
57	91	380
58	92	377
59	93	374
60	94	371
61	95	368
62	97	365
63	98	362
64	99	359
65	100	356
66	101	353
67	102	350
68	103	347
69	105	345
70	106	342
71	107	339
72	108	337
73	109	335
74	110	332
75	111	330
76	113	327
77	114	325
78	115	322
79	116	320
80	117	317
81	118	315
82	119	313
83	120	310
84	122	308
85	123	306
86	124	304
87	125	302
88	126	300
89	127	297
90	128	295
91	129	293
92	131	291
93	132	289
94	133	287
95	134	285
96	135	283
97	136	281
98	137	279
99	138	277
100	139	275
101	140	273
102	142	271
103	143	269
104	144	268
105	145	266
106	146	264
107	147	262
108	148	260
109	149	258
110	151	257
111	152	255
112	153	253
113	154	252
114	155	250
115	156	248
116	157	246
117	158	244
118	160	243
119	161	241
120	162	240
121	163	238
122	164	236
123	165	235
124	166	233
125	167	231
126	169	230
127	170	228
128	171	227
129	172	225
130	173	224
131	174	222
132	175	220
133	177	219
134	178	217
135	179	216
136	180	214
137	181	213
138	182	211
139	184	210
140	185	208
141	186	207
142	187	205
143	188	204
144	189	202
145	190	201
146	191	199
147	193	198
148	194	196
149	195	195
150	196	193
151	197	192
152	198	190
153	199	189
154	201	188
155	202	186
156	203	185
157	204	183
158	205	182
159	206	181
160	208	179
161	209	178
162	210	176
163	211	175
164	212	173
165	213	172
166	214	171
167	215	169
168	216	168
169	218	166
170	219	165
171	220	163
172	221	162
173	222	161
174	223	159
175	224	158
176	225	157
177	227	155
178	228	154
179	229	152
180	230	151
181	231	150
182	232	148
183	234	147
184	235	146
185	236	144
186	237	143
187	238	142
188	239	140
189	240	139
190	241	138
191	243	136
192	244	135
193	245	134
194	246	132
195	247	131
196	249	130
197	250	128
198	251	127
199	252	126
200	253	124
201	254	123
202	256	122
203	257	121
204	258	119
205	259	118
206	260	117
207	261	115
208	263	114
209	264	113
210	265	111
211	266	110
212	267	109
213	268	108
214	269	106
215	271	105
216	272	104
217	273	102
218	274	101
219	275	100
220	276	98
221	278	97
222	279	96
223	280	95
224	281	93
225	282	92
226	283	91
227	285	90
228	286	88
229	287	87
230	288	86
231	289	84
232	290	83
233	292	82
234	293	81
235	294	79
236	295	78
237	296	77
238	297	76
239	299	74
240	300	73
241	301	72
242	302	70
243	303	69
244	304	68
245	305	67
246	307	65
247	308	64
248	309	63
249	310	62
250	311	60
251	312	59
252	314	58
253	315	57
254	316	55
255	317	54
256	318	53
257	320	52
258	321	50
259	322	49
260	323	48
261	324	47
262	325	45
263	327	44
264	328	43
265	329	42
266	330	40
267	331	39
268	332	38
269	333	37
270	334	35
271	336	34
272	337	33
273	338	32
274	339	30
275	340	29
276	341	28
277	342	27
278	343	25
279	345	24
280	346	23
281	347	22
282	348	20
283	349	19
284	350	18
285	351	17
286	352	15
287	354	14
288	355	13
289	356	12
290	357	11
291	358	9
292	359	8
293	360	7
294	362	6
295	363	4
296	364	3
297	365	2
298	366	1
299	367	0
